joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;Right eye;Left eye;GSR;Valence;Picture;Time Elapsed
0.00246695;0.000376616;1.75251;0.00012625;0.00323232;17.0831;0.191342;-19.1124;93.5466;4.23511;4.33373;0;;;1002
0.00253596;0.000463488;1.74947;0.000132107;0.00339274;14.9883;0.19172;-19.0658;92.9226;4.10785;4.18286;0;;;2005
0.00395424;0.000744438;1.82685;0.000162079;0.00743362;8.71903;0.191977;-19.1548;84.7973;4.03688;4.10739;0;;;3008
0.00410675;0.000951473;1.92229;0.000155232;0.00837626;7.96733;0.193656;-19.4028;84.2411;3.9661;3.97075;0;;;4009
0.00395863;0.00121539;2.08252;0.000128028;0.00844387;8.21004;0.19568;-19.4349;86.3087;4.22139;4.19526;27;;;5012
0.00318557;0.00112111;2.20295;9.78948E-05;0.00605879;11.3599;0.19665;-19.5897;91.5913;4.29617;4.23939;24;;Street 2.jpg;6019
0.00281549;0.00108396;2.29045;8.24204E-05;0.0050916;13.5918;0.196889;-19.035;93.1571;3.56799;3.74401;0;;Street 2.jpg;7020
0.00171676;0.000698824;2.33361;5.45148E-05;0.00225503;24.9717;0.197446;-18.7455;97.4908;4.02656;4.01016;28;;Street 2.jpg;8023
0.00152337;0.000636265;2.33707;4.7751E-05;0.00186082;28.1402;0.19607;-19.2967;98.2755;3.68479;3.89847;30;+;Street 2.jpg;9025
0.00136114;0.000648049;2.06391;6.20448E-05;0.00151873;24.2002;0.195137;-18.6823;97.9989;3.84516;3.89571;32;+;Street 2.jpg;10029
0.000615677;0.000472387;1.27162;0.00011658;0.000371523;20.561;0.193858;-19.6934;99.1414;3.74031;3.8112;33;;Camping 8.jpg;11057
0.000147045;0.000246974;0.582054;0.00030277;2.99204E-05;18.9987;0.193104;-19.8437;99.7928;3.53335;3.70954;33;;Camping 8.jpg;12061
9.22362E-05;0.000181985;0.493596;0.000316737;1.60722E-05;23.2364;0.192834;-19.5586;99.8877;3.63715;3.65444;32;+;Camping 8.jpg;13067
8.18969E-05;0.000172216;0.459087;0.000340911;1.48995E-05;23.2634;0.192915;-19.5267;99.8982;3.6187;3.70873;31;+;Camping 8.jpg;14070
7.3879E-05;0.000145347;0.0777118;0.000201007;8.24475E-05;24.1038;1.17126;-32.1958;99.916;3.28981;3.49013;31;+;Camping 8.jpg;15075
7.40728E-05;0.000147385;0.0336731;0.000146252;0.000195396;24.2371;1.02321;-38.1154;99.9168;3.52671;3.64054;31;;Cemetery 5.jpg;16079
7.13177E-05;0.000157535;0.187334;0.00027605;3.26285E-05;23.302;0.420189;-26.108;99.9194;3.36232;3.49155;30;-;Cemetery 5.jpg;17081
7.05647E-05;0.000161246;0.310105;0.000325988;2.02463E-05;22.9529;0.260672;-22.8132;99.9195;3.68345;3.60378;29;-;Cemetery 5.jpg;18084
7.06609E-05;0.000166622;0.448009;0.000626341;1.32678E-05;22.6762;0.228369;-10.6967;99.4207;3.72444;3.86233;29;-;Cemetery 5.jpg;19086
7.22778E-05;0.000166868;0.446779;0.000750747;1.33437E-05;22.6688;0.212482;-7.17782;98.7694;3.9871;4.04137;29;-;Cemetery 5.jpg;20089
7.31256E-05;0.000168794;0.459946;0.000704133;1.31319E-05;23.4962;0.205;-8.43141;99.0112;3.53401;3.58606;28;;Cold 6.jpg;21095
7.45307E-05;0.000167285;0.466287;0.000543944;1.34016E-05;23.7308;0.201268;-12.2695;99.5646;3.854;3.95251;29;;Cold 6.jpg;22097
7.84051E-05;0.000166935;0.487481;0.000491452;1.34699E-05;25.1615;0.200418;-12.3193;99.5671;3.7132;3.83742;29;+;Cold 6.jpg;23099
7.83223E-05;0.000168095;0.482501;0.00044271;1.33666E-05;25.169;0.197582;-14.3715;99.7217;3.52216;3.5629;29;+;Cold 6.jpg;24117
7.7925E-05;0.000167802;0.479316;0.000735115;1.3752E-05;25.0558;0.194759;-3.15231;97.2407;3.57702;3.70655;29;+;Cold 6.jpg;25119
7.87943E-05;0.000167396;0.484887;0.000661448;1.40512E-05;25.5923;0.194019;-4.74982;97.9332;3.78285;3.87997;29;;Office supplies 3.jpg;26121
7.73581E-05;0.000166282;0.477717;0.000842298;1.38838E-05;25.2805;0.193514;-0.270767;95.0066;3.56107;3.5781;29;+;Office supplies 3.jpg;27123
7.5702E-05;0.000170359;0.46769;0.00109929;1.41741E-05;24.7725;0.193373;0;88.7001;3.79257;3.83515;28;+;Office supplies 3.jpg;28125
7.39032E-05;0.000178445;0.453948;0.0014689;1.45898E-05;24.1782;0.192999;0;83.1766;3.92034;3.9616;28;+;Office supplies 3.jpg;29127
7.25472E-05;0.000179485;0.445347;0.00160075;1.54416E-05;23.6881;0.192966;0;81.7232;4.06456;4.11058;27;+;Office supplies 3.jpg;30129
7.20591E-05;0.000218762;0.442569;0.00160304;1.59545E-05;24.2064;0.192914;0;82.6726;3.95794;4.16592;25;;Stingray 3.jpg;31131
7.15395E-05;0.00025619;0.439663;0.00155025;1.62582E-05;24.3213;0.192908;0;79.9041;4.07946;4.22842;26;;Stingray 3.jpg;32133
7.15803E-05;0.000233203;0.439536;0.00158519;1.5651E-05;24.1427;0.192889;0;78.4554;3.59444;3.66035;6;+;Stingray 3.jpg;33135
7.2059E-05;0.000475695;0.441465;0.00120087;2.00742E-05;25.8988;0.1929;0;71.4535;3.95412;4.09912;25;+;Stingray 3.jpg;34137
7.22004E-05;0.000600987;0.441361;0.000955031;2.14978E-05;26.2141;0.192881;0;73.0354;3.67103;3.78272;25;+;Stingray 3.jpg;35139
7.53853E-05;0.000627512;0.458031;0.000731363;2.19259E-05;27.3153;0.192846;0;85.9218;3.74038;3.81249;0;;Animal carcass 5.jpg;36141
7.70035E-05;0.000282419;0.461094;0.00131673;1.67524E-05;25.414;0.192802;0;62.549;3.32155;3.41471;0;-;Animal carcass 5.jpg;37143
7.86654E-05;0.000378085;0.458354;0.00122814;1.9221E-05;25.1965;0.192799;0;62.491;3.44172;3.46316;25;-;Animal carcass 5.jpg;38146
7.95799E-05;0.000547602;0.447913;0.00128603;2.2574E-05;24.205;0.192793;0;59.8073;3.81853;3.32091;24;-;Animal carcass 5.jpg;39148
8.4904E-05;0.000358965;0.456586;0.000523036;2.08033E-05;22.6787;0.192822;-8.16503;98.7648;4.32823;3.75085;24;-;Animal carcass 5.jpg;40150
8.8836E-05;0.000392387;0.45142;0.000580613;2.35613E-05;21.5504;0.192912;-7.11691;98.2036;4.23628;3.61542;24;;Nude woman 8.jpg;41152
9.5672E-05;0.000484714;0.450651;0.000837673;2.76127E-05;19.657;0.192858;-0.224899;91.5599;4.16203;3.64264;24;+;Nude woman 8.jpg;42158
0.000103085;0.000332191;0.454099;0.00111997;2.59403E-05;17.7045;0.192834;0;86.6041;4.45272;3.7798;25;+;Nude woman 8.jpg;43160
9.39696E-05;0.000219492;0.46632;0.000887808;1.98048E-05;21.1765;0.192998;-1.92371;94.6024;4.39144;3.86965;25;+;Nude woman 8.jpg;44162
9.92417E-05;0.000211859;0.465457;0.000833866;2.09385E-05;19.4836;0.192977;-4.6454;96.5;4.10367;3.76884;25;+;Nude woman 8.jpg;45164
0.000120515;0.000236697;0.460614;0.00169714;2.72291E-05;15.0998;0.19298;0;68.9728;4.21507;3.74181;24;;Wedding 3.jpg;46166
0.000132525;0.000250473;0.443672;0.00134056;3.33619E-05;12.4506;0.193298;-3.09715;90.4728;4.26138;3.77779;24;+;Wedding 3.jpg;47168
0.000175371;0.000366901;0.441647;0.00225156;5.00341E-05;8.22394;0.193094;0;64.8433;4.33017;3.84143;23;+;Wedding 3.jpg;48170
0.000333939;0.000741285;0.442513;0.00505908;0.000127661;3.24293;0.192962;0;13.7483;4.54809;4.06272;23;+;Wedding 3.jpg;49172
0.000493699;0.00123663;0.444187;0.00789532;0.000211809;1.8737;0.192764;0;6.82685;4.5508;4.12509;23;+;Wedding 3.jpg;50174
0.000413034;0.00107145;0.448174;0.00638743;0.000144966;2.60964;0.192745;-0.765244;23.136;4.08512;3.60496;24;;Astronaut 1.jpg;51176
0.00104749;0.00293818;0.434658;0.00876953;0.000884721;0.489508;0.192845;0;2.74482;3.96222;3.56673;25;+;Astronaut 1.jpg;52179
0.000669224;0.00168799;0.442254;0.00532907;0.000370626;1.05825;0.192994;-6.02103;27.9521;4.37036;3.78623;23;+;Astronaut 1.jpg;53181
0.00049534;0.00122823;0.4451;0.00383687;0.000244357;1.6266;0.1935;-5.04095;41.2126;4.55775;3.93766;22;+;Astronaut 1.jpg;54183
0.00069244;0.0016951;0.447696;0.00466968;0.000415571;0.957433;0.19481;-5.05161;26.5911;4.44759;3.89713;22;+;Astronaut 1.jpg;55185
0.000448572;0.00107966;0.452935;0.00361583;0.000210434;1.87705;0.194448;-3.25095;39.4954;3.9323;3.47117;22;;Garbage dump 1.jpg;56187
0.000382841;0.000927385;0.459334;0.00289406;0.00016029;2.4203;0.194384;-7.21347;66.0345;4.04429;3.72859;24;-;Garbage dump 1.jpg;57189
0.000372843;0.000892787;0.461025;0.00251754;0.000147701;2.64596;0.193801;-9.6088;77.375;3.98534;3.57584;25;-;Garbage dump 1.jpg;58191
0.000341491;0.000825946;0.456352;0.00247446;0.000128187;2.98775;0.193861;-9.32251;79.2803;4.20358;3.73339;1;-;Garbage dump 1.jpg;59193
0.000365475;0.000882985;0.460104;0.00282835;0.000136239;2.82362;0.193653;-8.60935;73.241;4.48522;3.98012;12;-;Garbage dump 1.jpg;60195
0.000390781;0.000965031;0.466931;0.00401172;0.000134698;2.80596;0.193532;-6.22371;55.29;3.55873;3.21416;21;;Wall 3.jpg;61197
0.000448142;0.00112516;0.4665;0.00446853;0.000158002;2.36533;0.19337;-8.23962;56.2595;3.4458;3.12877;34;+;Wall 3.jpg;62199
0.000486595;0.00136004;0.475093;0.00757408;0.000135491;2.54814;0.193136;-10.4365;51.0602;3.66269;3.49343;30;+;Wall 3.jpg;63201
0.000595664;0.00175525;0.466171;0.0101202;0.000182013;1.81574;0.193233;-11.6436;42.1739;3.64881;3.19704;0;+;Wall 3.jpg;64203
0.000552348;0.00154836;0.464274;0.0102571;0.000172101;1.98534;0.192791;-5.95462;24.0822;3.71803;3.43242;26;+;Wall 3.jpg;65205
0.000629188;0.00194342;0.458269;0.0138325;0.00017691;1.77651;0.192672;-12.0858;35.8331;4.27941;3.69459;25;;Pigeon 3.jpg;66207
0.000797026;0.00241479;0.454366;0.0167743;0.000268996;1.18625;0.192283;-9.78976;18.458;4.36219;3.89761;24;;Pigeon 3.jpg;67209
0.000898853;0.00252913;0.44973;0.00950001;0.000387358;0.871829;0.192245;-16.2474;47.1658;4.51528;4.03743;24;+;Pigeon 3.jpg;68211
0.00109239;0.00268375;0.446695;0.00521649;0.000651859;0.575273;0.192299;-20.8034;70.2578;4.40719;3.97118;23;+;Pigeon 3.jpg;69213
0.00112846;0.00292492;0.449075;0.00737091;0.000567668;0.635815;0.192136;-22.1962;67.7317;4.11489;4.13987;23;+;Pigeon 3.jpg;70215
0.00143326;0.00338073;0.450398;0.0100095;0.000916273;0.425193;0.192401;-13.7413;21.5312;3.68748;3.75653;22;;Rafting 1.jpg;71217
0.00157675;0.0035747;0.454535;0.0141226;0.00103022;0.392351;0.1926;-8.9133;7.25526;4.07022;4.08094;22;;Rafting 1.jpg;72219
0.00155755;0.00379276;0.449072;0.0147138;0.000942633;0.404053;0.192396;-12.383;12.0806;3.79242;4.00702;19;+;Rafting 1.jpg;73221
0.00149247;0.00367949;0.443708;0.0176382;0.000868288;0.427352;0.192074;-8.87072;6.66549;3.93106;4.01216;21;+;Rafting 1.jpg;74223
0.00158263;0.00422066;0.438874;0.0250657;0.000923261;0.376861;0.191679;-4.80077;2.42785;3.8144;3.89964;20;+;Rafting 1.jpg;75225
0.00137702;0.00386609;0.435139;0.0267771;0.000685871;0.479847;0.190577;-4.04386;2.57093;3.1141;3.21629;21;;Couple 9.jpg;76227
0.00134384;0.00463118;0.441596;0.0545789;0.00041079;0.678852;0.190082;-10.7166;4.35554;3.65755;3.84821;29;+;Couple 9.jpg;77229
0.00158203;0.0063521;0.447918;0.0662233;0.000367185;0.672468;0.188882;-23.5455;20.672;3.67205;3.74015;29;+;Couple 9.jpg;78234
0.00171064;0.00531444;0.464845;0.0233023;0.000562868;0.547948;0.188832;-25.1224;42.4574;3.20421;3.28532;29;+;Couple 9.jpg;79236
0.00183174;0.00513654;0.475192;0.0225017;0.000695386;0.493414;0.189482;-20.0691;22.5352;3.3702;3.4993;28;+;Couple 9.jpg;80238
0.0019504;0.00445556;0.490441;0.0137498;0.000951266;0.473342;0.18768;-18.3167;23.9987;3.47982;3.60441;28;;Yoga 2.jpg;81243
0.0021506;0.0033976;0.553561;0.00466474;0.00190562;0.466123;0.187145;-13.8324;24.737;3.5787;3.53846;27;+;Yoga 2.jpg;82245
0.00207959;0.00298247;0.585714;0.00360466;0.00201973;0.54814;0.188153;-12.7052;25.7849;3.5372;3.49064;25;+;Yoga 2.jpg;83247
